Biomarker,Preferred Term,HGNC_ID,Biomolecule,Tissue,Cell,Context,Organism,Senescence Hallmark,Citation,Experimental Evidence
BCL2,BCL2 apoptosis regulator,HGNC:990,Protein,Ovary,Granulosa cells,Development,Mouse,Resistance to apoptosis,31111482,WB
CASP3,caspase 3,HGNC:1504,Protein,Ovary,Granulosa cells,Development,Mouse,Resistance to apoptosis,31111482,WB
CBX1,chromobox 1,HGNC:1551,Protein,Ovary,,Disease (POI),Mouse,Nuclear changes,33358858,
CBX3,chromobox 3,HGNC:1553,Protein,Ovary,,Disease (POI),Mouse,Nuclear changes,33358858,IF
CBX5,chromobox 5,HGNC:1555,Protein,Ovary,,Disease (POI),Mouse,Nuclear changes,33358858,
CCL2,C-C motif chemokine ligand 2,HGNC:10618,mRNA,Ovary,,Disease (genotoxic reagent),Mouse,SASP/Inflammation,36648735,rt-qPCR
CCL3,C-C motif chemokine ligand 3,HGNC:10627,mRNA,Ovary,Immune cells,Aging,Human,SASP/Inflammation,36543131,scRNAseq
CCL5,C-C motif chemokine ligand 5,HGNC:10632,"mRNA, Protein",Ovary,Stromal cells,Aging,Mouse,SASP/Inflammation,31111482,"IHC, rt-qPCR"
CCL8,C-C motif chemokine ligand 8,HGNC:10635,mRNA,Ovary,Immune cells,Aging,Human,SASP/Inflammation,36543131,scRNAseq
CCL8,C-C motif chemokine ligand 8,HGNC:10635,mRNA,Ovary,,Aging,Mouse,SASP/Inflammation,33383072,"rt-qPCR, bulk RNA-seq"
CD74,CD74 molecule,HGNC:1697,mRNA,Ovary,,Aging,Mouse,SASP/Inflammation,36054356,scRNAseq
CDKN1A,cyclin dependent kinase inhibitor 1A,HGNC:1784,"mRNA, Protein",Ovary,Perivascular endothelial cells,"Aging, Disease (genotoxic reagent)","Human, Mouse",Cell cycle arrest,"33383072, 35693700, 36648735, 36336229, 36543131","scRNAseq, rt-qPCR, bulk RNA-seq, WB"
CDKN2A,cyclin dependent kinase inhibitor 2A,HGNC:1787,"mRNA, Protein",Ovary,Granulosa cells,"Aging, Disease (genotoxic reagent)",Mouse,Cell cycle arrest,"15520862, 33383072, 35784529, 35693700, 36648735, 36336229","rt-qPCR, bulk RNA-seq, IHC, WB"
CRLF1,cytokine receptor like factor 1,HGNC:2364,mRNA,Ovary,,Aging,Mouse,SASP/Inflammation,33383072,"rt-qPCR, bulk RNA sequecing"
CXCL1,C-X-C motif chemokine ligand 1,HGNC:4602,mRNA,Ovary,Immune cells,Aging,Human,SASP/Inflammation,36543131,scRNAseq
CXCL10,C-X-C motif chemokine ligand 10,HGNC:10637,mRNA,Ovary,,Aging,Mouse,SASP/Inflammation,36054356,scRNAseq
CXCL2,C-X-C motif chemokine ligand 2,HGNC:4603,mRNA,Ovary,Immune cells,Aging,Human,SASP/Inflammation,36543131,scRNAseq
CXCL3,C-X-C motif chemokine ligand 3,HGNC:4604,mRNA,Ovary,Immune cells,Aging,Human,SASP/Inflammation,36543131,scRNAseq
CXCL8,C-X-C motif chemokine ligand 8,HGNC:6025,mRNA,Ovary,Immune cells,Aging,Human,SASP/Inflammation,36543131,scRNAseq
H2AX,H2A.X variant histone,HGNC:4739,Protein,Ovary,Granulosa cells,Aging,Mouse,DDR,35784529,"IHC, WB"
H3K9me3,histone H3 lysine 9 trimethylation,,Protein,Ovary,,Disease (POI),Mouse,Nuclear changes,33358858,IF
HMGA1,high mobility group AT-hook 1,HGNC:5010,Protein,Ovary,,Disease (POI),Mouse,DDR,33358858,WB
HMGA2,high mobility group AT-hook 2,HGNC:5009,Protein,Ovary,,Disease (POI),Mouse,Nuclear changes,33358858,WB
HMGB1,high mobility group box 1,HGNC:4983,mRNA,Ovary,,Aging,Mouse,Nuclear changes,33383072,rt-qPCR
IGFBP2,insulin like growth factor binding protein 2,HGNC:5471,mRNA,Ovary,Stromal cells,Aging,Human,SASP/Inflammation,36543131,scRNAseq
IGFBP3,insulin like growth factor binding protein 3,HGNC:5472,mRNA,Ovary,Stromal cells,Aging,Human,SASP/Inflammation,36543131,scRNAseq
IGFBP4,insulin like growth factor binding protein 4,HGNC:5473,mRNA,Ovary,Stromal cells,Aging,Human,SASP/Inflammation,36543131,scRNAseq
IGFBP7,insulin like growth factor binding protein 7,HGNC:5476,mRNA,Ovary,Endothelial cells,Aging,Human,SASP/Inflammation,36543131,scRNAseq
IL1A,interleukin 1 alpha,HGNC:5991,mRNA,Ovary,,Aging,Mouse,SASP/Inflammation,36336229,rt-qPCR
IL1B,interleukin 1 beta,HGNC:5992,mRNA,Ovary,,Aging,Mouse,SASP/Inflammation,36336229,rt-qPCR
IL6,interleukin 6,HGNC:6018,"mRNA, Protein",Ovary,,Disease (genotoxic reagent),Mouse,SASP/Inflammation,"35693700, 36648735","WB, IHC, Luminex mouse 23 cytokine array, rt-qPCR"
Lipofuscin,Lipofuscin,,Protein,Ovary,,Aging,Mouse,Increased lysosomal content,33383072,Lipofuscin staining (sudan black dye)
PTEN,phosphatase and tensin homolog,HGNC:9588,Protein,Ovary,Granulosa cells,Development,Mouse,Cell cycle arrest,31111482,WB
RELA,"RELA proto-oncogene, NF-kB subunit",HGNC:9955,Protein,Ovary,Granulosa cells,Development,Mouse,SASP/Inflammation,31111482,WB
SA-β-Gal,senescence associated beta galactosidase,,Protein,Ovary,Stromal cells,"Aging, Disease (genotoxic reagent)",Mouse,Increased lysosomal content,"31111482, 35693700, 36648735",SA‐β‐gal staining
SERPINE1,serpin family E member 1,HGNC:8583,mRNA,Ovary,Stromal cells,Aging,"Mouse, Human",SASP/Inflammation,"33383072, 36543131","rt-qPCR, scRNAseq"
TGFB1,transforming growth factor beta 1,HGNC:11766,mRNA,Ovary,,Disease (genotoxic reagent),Mouse,SASP/Inflammation,36648735,rt-qPCR
TIMP1,TIMP metallopeptidase inhibitor 1,HGNC:11820,mRNA,Ovary,Stromal cells,Aging,Human,SASP/Inflammation,36543131,scRNAseq
TIMP2,TIMP metallopeptidase inhibitor 2,HGNC:11821,mRNA,Ovary,Stromal cells,Aging,Human,SASP/Inflammation,36543131,scRNAseq
ACTG1,actin gamma 1,HGNC:144,mRNA,Pancreas,Acinar cells,suspension culture,Mouse,SASP/Inflammation,21193456,rt-qPCR
ADAMTS1,ADAM metallopeptidase with thrombospondin type 1 motif 1,HGNC:217,Protein,Pancreas,,infiltrating ductal adenocarcinoma of the pancreas,Human,Other,30953539,Quantitative methylation-specific PCR
ANKRD1,ankyrin repeat domain 1,HGNC:15819,mRNA,Pancreas,b-cells,MODY,Mouse,SASP/Inflammation,34644565,rt-qPCR
ARG2,arginase 2,HGNC:664,mRNA,Pancreas,Acinar cells,Aging,Mouse,SASP/Inflammation,28356309,two-step rt-qPCR
ATM,ATM serine/threonine kinase,HGNC:795,mRNA,Pancreas,Acinar cells,suspension culture,Mouse,SASP/Inflammation,21193456,rt-qPCR
ATR,ATR serine/threonine kinase,HGNC:882,mRNA,Pancreas,Acinar cells,suspension culture,Mouse,SASP/Inflammation,21193456,rt-qPCR
BCL2A1,BCL2 related protein A1,HGNC:991,mRNA,Pancreas,b-cells,MODY,Mouse,Resistance to apoptosis,34644565,rt-qPCR
BHLHA15,basic helix-loop-helix family member a15,HGNC:22265,mRNA,Pancreas,Acinar cells,"Aging, pancreatitis",Mouse,SASP/Inflammation,25212177,rt-qPCR
BHLHE40,basic helix-loop-helix family member e40,HGNC:1046,Protein,Pancreas,Acinar cells,suspension culture,Mouse,Cell cycle arrest,21193456,"Immunoblots, IHC"
BNC1,basonuclin 1,HGNC:1081,Protein,Pancreas,,infiltrating ductal adenocarcinoma of the pancreas,Human,,30953539,Quantitative methylation-specific PCR
CASP3,caspase 3,HGNC:1504,mRNA,Pancreas,Acinar cells,suspension culture,Mouse,SASP/Inflammation,21193456,rt-qPCR
CBX3,chromobox 3,HGNC:1553,Protein,Pancreas,duct cells,IPMN (Intraductal papillary mucinous neoplasm),Human,Nuclear changes,21733551,IF
CCL3,C-C motif chemokine ligand 3,HGNC:10627,"mRNA, Protein",Pancreas,b-cells,"Type 2 diabetes, insulin resistance","Human, Mouse",SASP/Inflammation,31155496,"rt-qPCR, Flow cytometry"
CCL4,C-C motif chemokine ligand 4,HGNC:10630,"mRNA, Protein",Pancreas,b-cells,"Type 2 diabetes, insulin resistance","Human, Mouse",SASP/Inflammation,31155496,"rt-qPCR, Flow cytometry"
CCL5,C-C motif chemokine ligand 5,HGNC:10632,"mRNA, Protein",Pancreas,b-cells,"Type 2 diabetes, insulin resistance","Human, Mouse",SASP/Inflammation,31155496,"rt-qPCR, Flow cytometry"
CD68,CD68 molecule,HGNC:1693,mRNA,Pancreas,b-cells,MODY,Mouse,SASP/Inflammation,34644565,rt-qPCR
CDK1,cyclin dependent kinase 1,HGNC:1722,mRNA,Pancreas,Acinar cells,suspension culture,Mouse,SASP/Inflammation,21193456,rt-qPCR
CDKN1A,cyclin dependent kinase inhibitor 1A,HGNC:1784,"mRNA, Protein",Pancreas,"b-cells, Acinar cells","Type 1 diabetes, Type 2 diabetes, insulin resistance, MODY, Aging, suspension culture, chronic pancreatitis, pancreatic ductal adenocarcinoma, acinar to ductal metaplasia","Human, Mouse",Cell cycle arrest,"31155496, 30799288, 34644565, 36375063, 21193456, 25894862, 25212177, 21860420","Immunoblots, rt-qPCR, IHC"
CDKN2A,cyclin dependent kinase inhibitor 2A,HGNC:1787,"mRNA, Protein",Pancreas,"Acinar cells, b cells, duct cells","Aging, senescence induced by tamoxifen, pancreatitis, Type 1 diabetes, Type 2 diabetes, insulin resistance, IPMN (Intraductal papillary mucinous neoplasm), Pancreatic ductal adenocarcinoma (PDAC), Pancreatitis","Human, Mouse",Cell cycle arrest,"31240701, 25212177, 22609312, 14681207, 21733551, 33627784, 21075310, 31155496, 30799288, 34644565, 36375063","rt-qPCR, WB, IHC"
CDKN2B,cyclin dependent kinase inhibitor 2B,HGNC:1788,"mRNA, Protein",Pancreas,"Acinar cells, duct cells","Aging, IPMN (Intraductal papillary mucinous neoplasm)","Human, Mouse",Cell cycle arrest,"26057580, 21733551","IHC, SABiosciences Cellular Senescence RT2 Profiler PCR Array"
CXCL1,C-X-C motif chemokine ligand 1,HGNC:4602,"mRNA, Protein",Pancreas,b-cells,"Type 2 diabetes, insulin resistance","Human, Mouse",SASP/Inflammation,31155496,"rt-qPCR, Flow cytometry"
CXCL10,C-X-C motif chemokine ligand 10,HGNC:10637,"mRNA, Protein",Pancreas,b-cells,"Type 2 diabetes, insulin resistance","Human, Mouse",SASP/Inflammation,31155496,"rt-qPCR, Flow cytometry"
CXCL11,C-X-C motif chemokine ligand 11,HGNC:10638,mRNA,Pancreas,b-cells,MODY,Mouse,SASP/Inflammation,34644565,rt-qPCR
CXCL12,C-X-C motif chemokine ligand 12,HGNC:10672,mRNA,Pancreas,b-cells,MODY,Mouse,SASP/Inflammation,34644565,rt-qPCR
DNAJA3,DnaJ heat shock protein family (Hsp40) member A3,HGNC:11808,mRNA,Pancreas,Acinar cells,suspension culture,Mouse,SASP/Inflammation,21193456,rt-qPCR
FAS,Fas cell surface death receptor,HGNC:11920,mRNA,Pancreas,Acinar cells,suspension culture,Mouse,SASP/Inflammation,21193456,rt-qPCR
H2AX,H2A.X variant histone,HGNC:4739,mRNA,Pancreas,"Acinar cells, b-cells","suspension culture, Type 1 diabetes",Mouse,DDR,"21193456, 30799288","rt-qPCR, IHC"
HIV-NEF,nef Human immunodeficiency virus 1,,mRNA,Pancreas,Acinar cells,suspension culture,Mouse,SASP/Inflammation,21193456,rt-qPCR
HMGB1,high mobility group box 1,HGNC:4983,Protein,Pancreas,"a-cells, b-cells","Aging, Type 2 diabetes","Human, Mouse",Nuclear changes,"31155496, 36375063",IHC
ICAM1,intercellular adhesion molecule 1,HGNC:5344,mRNA,Pancreas,b-cells,MODY,Mouse,SASP/Inflammation,34644565,rt-qPCR
ICAM3,intercellular adhesion molecule 3,HGNC:5346,mRNA,Pancreas,b-cells,MODY,Mouse,SASP/Inflammation,34644565,rt-qPCR
ID3,"inhibitor of DNA binding 3, HLH protein",HGNC:5362,mRNA,Pancreas,Acinar cells,pancreatic ductal adenocarcinoma,Human,SASP/Inflammation,25894862,"Microarray, WB"
IGFBP3,insulin like growth factor binding protein 3,HGNC:5472,Protein,Pancreas,b-cells,Type 1 diabetes,Mouse,SASP/Inflammation,30799288,Luminex assay
IL1A,interleukin 1 alpha,HGNC:5991,mRNA,Pancreas,,Pancreatic adenocarcinoma,Human,SASP/Inflammation,36622275,rt-qPCR
IL1A,interleukin 1 alpha,HGNC:5991,"mRNA, Protein",Pancreas,b-cells,"Type 2 diabetes, insulin resistance",Mouse,SASP/Inflammation,31155496,"rt-qPCR, Flow cytometry"
IL6,interleukin 6,HGNC:6018,"mRNA, Protein",Pancreas,b-cells,"Type 1 diabetes, Type 2 diabetes, insulin resistance, Pancreatic adenocarcinoma","Human, Mouse",SASP/Inflammation,"31155496, 30799288, 36622275","rt-qPCR, ELISA"
Infiltration of F4/80,Infiltration of F4/80,,mRNA,Pancreas,Acinar cells,senescence induced by tamoxifen,Mouse,SASP/Inflammation,31240701,IHC
KRAS,"KRAS proto-oncogene, GTPase",HGNC:6407,mRNA,Pancreas,duct cells/acinar cells,Aging,Human,DDR,10592048,Nucleotide sequence
MAPK14,MAPK14,HGNC:6876,mRNA,Pancreas,Acinar cells,"Aging, suspension culture",Mouse,SASP/Inflammation,"21193456, 28356309",rt-qPCR
MMP2,matrix metallopeptidase 2,HGNC:7166,Protein,Pancreas,b-cells,Type 1 diabetes,Mouse,SASP/Inflammation,30799288,IHC
NFKB1,nuclear factor kappa B subunit 1,HGNC:7794,mRNA,Pancreas,Acinar cells,suspension culture,Mouse,SASP/Inflammation,21193456,rt-qPCR
proteasome,proteasome,,mRNA,Pancreas,Acinar cells,suspension culture,Mouse,SASP/Inflammation,21193456,rt-qPCR
SA-β-Gal,senescence associated beta galactosidase,,Protein,Pancreas,"Acinar , b-cells, duct cells","Aging, suspension culture, senescence induced by tamoxifen, acinar to ductal metaplasia, IPMN (Intraductal papillary mucinous neoplasm), Type 2 diabetes, insulin resistance","Human, Mouse",Increased lysosomal content,"21193456, 31240701, 26057580, 21860420, 21733551, 21075310, 31155496, 33674410, 34644565","Histochemical staining, Flow cytometry, SA-β-gal staining, IHC"
SERPINE1,serpin family E member 1,HGNC:8583,Protein,Pancreas,b-cells,Type 1 diabetes,Mouse,SASP/Inflammation,30799288,IHC
SMAD4,SMAD family member 4,HGNC:6770,Protein,Pancreas,duct cells,pancreatic adenocarcinoma,Mouse,DDR,14681207,WB
TGFB1,transforming growth factor beta 1,HGNC:11766,mRNA,Pancreas,Acinar cells,"Aging, pancreatitis","Human, Mouse",SASP/Inflammation,"25212177, 30858455",rt-qPCR
TGFBR2,transforming growth factor beta receptor 2,HGNC:11773,mRNA,Pancreas,Acinar cells,"Aging, pancreatitis",Mouse,SASP/Inflammation,25212177,rt-qPCR
TLR2,toll like receptor 2,HGNC:11848,mRNA,Pancreas,Acinar cells,suspension culture,Mouse,SASP/Inflammation,21193456,rt-qPCR
TNF,tumor necrosis factor,HGNC:11892,"mRNA, Protein",Pancreas,"Acinar cells, b-cells","Type 2 diabetes, insulin resistance, Aging, suspension culture","Human, Mouse",SASP/Inflammation,"31155496, 28356309","rt-qPCR, Flow cytometry"
TNFRSF1A,TNF receptor superfamily member 1A,HGNC:11916,mRNA,Pancreas,Acinar cells,suspension culture,Mouse,SASP/Inflammation,21193456,rt-qPCR
TNFRSF1B,TNF receptor superfamily member 1B,HGNC:11917,mRNA,Pancreas,Acinar cells,suspension culture,Mouse,SASP/Inflammation,21193456,rt-qPCR
TNFRSF9,TNF receptor superfamily member 9,HGNC:11924,mRNA,Pancreas,Acinar cells,suspension culture,Mouse,SASP/Inflammation,21193456,rt-qPCR
TP53,tumor protein p53,HGNC:11998,"mRNA, Protein",Pancreas,"Acinar cells, duct cells","Aging, suspension culture, pancreatitis, acinar to ductal metaplasia, pancreatic adenocarcinoma","Human, Mouse",Cell cycle arrest,"21193456, 25212177, 22609312, 21860420, 14681207, 28161061","Immunoblots, IHC, WB, rt-qPCR"
8-OHdG,8-hydroxy-2'-deoxyguanosine,,Protein,Placenta,Villous stroma,"Development, Disease (IUGR)",Human,DDR,28161061,IHC
BCL2,BCL2 apoptosis regulator,HGNC:990,Protein,Placenta,Trophoblasts,Disease (IUGR),Human,Resistance to apoptosis,"10940199, 19359039",IHC
CDKN1A,cyclin dependent kinase inhibitor 1A,HGNC:1784,"mRNA, Protein",Placenta,Syncytiotrophoblasts,"Development, Aging, disease (PE, FGR)","Human, Mouse",Cell cycle arrest,"26851389, 30055665, 19359039, 31424120, 27324096, 34785431, 9925645","WB, IHC, IF, rt-qPCR, WB, knock-out mice functional studies"
CDKN1C,cyclin dependent kinase inhibitor 1C,HGNC:1786,"mRNA, Protein",Placenta,Extravillous trophoblasts,Development,"Human, Mouse",Cell cycle arrest,"30312291, 27324096, 9925645","IF, knock-out mice functional studies, WB"
CDKN2A,cyclin dependent kinase inhibitor 2A,HGNC:1787,"mRNA, Protein",Placenta,,"Aging, Disease (FGR/IUGR)","Human, Mouse",Cell cycle arrest,"19359039, 31424120, 34176822","rt-qPCR, WB, IHC, IF"
CSF2,colony stimulating factor 2,HGNC:2434,,Placenta,,Placental Aging,Human,SASP/Inflammation,26025293,Antibody array
CXCL8,C-X-C motif chemokine ligand 8,HGNC:6025,"mRNA,",Placenta,,"Disease (PE), Placental Aging","Human, Mouse",SASP/Inflammation,"34785431, 26025293","rt-qPCR, Antibody array"
EEF1A1,eukaryotic translation elongation factor 1 alpha 1,HGNC:3189,mRNA,Placenta,,Disease (FGR),Human,Nuclear changes,19359039,rt-qPCR
GDF15,growth differentiation factor 15,HGNC:30142,Protein,Placenta,,Development,Human,SASP/Inflammation,11134143,ELISA
H2AX,H2A.X variant histone,HGNC:4739,Protein,Placenta,Syncytiotrophoblasts,"Disease (PE, IUGR)","Human, Mouse",DDR,"30055665, 33450376",IHC
HMGB1,high mobility group box 1,HGNC:4983,,Placenta,,"Placental Aging, Disease (PE)",Human,Nuclear changes,26851389,"rt-qPCR, Bulk RNAseq"
IFNG,interferon gamma,HGNC:5438,,Placenta,,"Development, Placental Aging, Disease (PE, IUGR)",Human,SASP/Inflammation,36834513,ELISA
IL17A,interleukin 17A,HGNC:5981,,Placenta,,Placental Aging,Human,SASP/Inflammation,26851389,Bulk RNAseq
IL1A,interleukin 1 alpha,HGNC:5991,mRNA,Placenta,,Aging,Mouse,SASP/Inflammation,34176822,"rt-qPCR, Mouse cytokine array (antibody-based)"
IL1B,interleukin 1 beta,HGNC:5992,"mRNA,",Placenta,,"Placental Aging, Development, disease (PE)","Human, Mouse",SASP/Inflammation,"32591788, 34176822, 34785431","rt-qPCR, ELISA, Antibody Array"
IL6,interleukin 6,HGNC:6018,"mRNA,",Placenta,,"Aging, Development, disease (PE)","Human, Mouse",SASP/Inflammation,"34176822, 34785431, 31424120, 36834513, 32591788, 26851389, 26025293","ELISA, Bulk RNA seq, Mouse cytokine array (antibody-based), rt-qPCR"
Lipofuscin,Lipofuscin,,Protein,Placenta,Syncytiotrophoblasts,"Disease (PE, IUGR), Development","Human, Mouse",Increased lysosomal content,"33450376, 30055665","Indirect measures in cell lines, Sudan Black-B staining"
LMNB1,lamin B1,HGNC:6637,Protein,Placenta,,Placental Aging,Human,Nuclear changes,26851389,IF
MAPK14,MAPK14,HGNC:6876,Protein,Placenta,,"Placental Aging, Development","Human, Mouse",SASP/Inflammation,"26851389, 27324096","IF, WB, Bulk RNAseq"
MMP2,matrix metallopeptidase 2,HGNC:7166,,Placenta,,Placental Aging,Human,SASP/Inflammation,32591788,
MMP9,matrix metallopeptidase 9,HGNC:7176,,Placenta,,Placental Aging,Human,SASP/Inflammation,32591788,Antibody array
NAMPT,nicotinamide phosphoribosyltransferase,HGNC:30092,Protein,Placenta,Syncytiotrophoblasts,"Development, Disease (PE)",Human,Nuclear changes,28161061,IHC
NFKB1,nuclear factor kappa B subunit 1,HGNC:7794,Protein,Placenta,,Development,Human,SASP/Inflammation,28161061,IHC
PTEN,phosphatase and tensin homolog,HGNC:9588,mRNA,Placenta,,Disease (PE),Human,Cell cycle arrest,36834513,rt-qPCR
SA-β-Gal,senescence associated beta galactosidase,,Protein,Placenta,,"Placental Aging, Development",Human,Increased lysosomal content,"27324096, 26851389, 26025293",Staining
SIRT1,sirtuin 1,HGNC:14929,Protein,Placenta,Syncytiotrophoblasts,"Development, Disease (PE, IUGR)","Human, Mouse",Nuclear changes,"28161061, 33450376",IHC
SIRT3,sirtuin 3,HGNC:14931,Protein,Placenta,Syncytiotrophoblasts,"Development, Disease (PE)",Human,Nuclear changes,28161061,IHC
Telomere length,Telomere length,,,Placenta,,"Development, Disease (FGR/IUGR)","Human, Mouse",DDR,"10940199, 19359039, 27324096","TRAP assay, rt-qPCR"
TNF,tumor necrosis factor,HGNC:11892,"mRNA, Protein",Placenta,,Placental Aging,"Human, Mouse",SASP/Inflammation,"32591788, 34176822","EIA, ELISA, Mouse cytokine array (antibody-based)"
TP53,tumor protein p53,HGNC:11998,"mRNA, Protein",Placenta,,"Development, Disease (PE, IUGR)","Human, Mouse",Cell cycle arrest,"30055665, 31424120,34176822, 27324096, 34785431, 31424120","rt-qPCR, WB, knock-out mice functional studies, IHC"
TREM1,triggering receptor expressed on myeloid cells 1,HGNC:17760,,Placenta,,Placental Aging,Human,SASP/Inflammation,26851389,Bulk RNAseq
ACVR1B,activin A receptor type 1B,HGNC:172,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
ANG,angiogenin,HGNC:483,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
ANGPT1,angiopoietin 1,HGNC:484,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
ANGPTL4,angiopoietin like 4,HGNC:16039,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
AREG,amphiregulin,HGNC:651,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
AXL,AXL receptor tyrosine kinase,HGNC:905,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
BEX3,brain expressed X-linked 3,HGNC:13388,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
BMP2,bone morphogenetic protein 2,HGNC:1069,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
BMP6,bone morphogenetic protein 6,HGNC:1073,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
C3,complement C3,HGNC:1318,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
CCL1,C-C motif chemokine ligand 1,HGNC:10609,mRNA,Skeleton,"N/A, Osteocytes","Aging, Focal Radiation","Human, Mouse",SASP/Inflammation,"35974106, 32023351","Bulk RNA-seq, scRNA-seq, rt-qPCR"
CCL13,C-C motif chemokine ligand 13,HGNC:10611,mRNA,Skeleton,,Aging,Human,SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
CCL16,C-C motif chemokine ligand 16,HGNC:10614,mRNA,Skeleton,,Aging,Human,SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
CCL2,C-C motif chemokine ligand 2,HGNC:10618,mRNA,Skeleton,"N/A, Osteocytes","Aging, Focal Radiation","Human, Mouse",SASP/Inflammation,"27341653, 35974106, 34617510, 32023351","Bulk RNA-seq, scRNA-seq, rt-qPCR"
CCL20,C-C motif chemokine ligand 20,HGNC:10619,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
CCL24,C-C motif chemokine ligand 24,HGNC:10623,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
CCL26,C-C motif chemokine ligand 26,HGNC:10625,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
CCL3,C-C motif chemokine ligand 3,HGNC:10627,mRNA,Skeleton,"N/A, Osteocytes","Aging, Focal Radiation","Human, Mouse",SASP/Inflammation,"27341653, 35974106, 32023351","Bulk RNA-seq, scRNA-seq, rt-qPCR"
CCL3L1,C-C motif chemokine ligand 3 like 1,HGNC:10628,mRNA,Skeleton,,Aging,Human,SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
CCL4,C-C motif chemokine ligand 4,HGNC:10630,mRNA,Skeleton,"N/A, Osteocytes","Aging, Focal Radiation","Human, Mouse",SASP/Inflammation,"35974106, 32023351","Bulk RNA-seq, scRNA-seq, rt-qPCR"
CCL5,C-C motif chemokine ligand 5,HGNC:10632,mRNA,Skeleton,"N/A, Osteocytes","Aging, Focal Radiation, Type 2 Diabetes","Human, Mouse",SASP/Inflammation,"27341653, 35974106, 32023351, 32267250","Bulk RNA-seq, scRNA-seq, rt-qPCR"
CCL7,C-C motif chemokine ligand 7,HGNC:10634,mRNA,Skeleton,"N/A, Osteocytes, Callus cells","Aging, Fracture, Focal Radiation","Human, Mouse",SASP/Inflammation,"27341653, 35974106, 34617510, 32023351","Bulk RNA-seq, scRNA-seq, rt-qPCR"
CCL8,C-C motif chemokine ligand 8,HGNC:10635,mRNA,Skeleton,"N/A, Osteocytes","Aging, Focal Radiation","Human, Mouse",SASP/Inflammation,"27341653, 35974106, 32023351","Bulk RNA-seq, scRNA-seq, rt-qPCR"
CD55,CD55 molecule (Cromer blood group),HGNC:2665,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
CD9,CD9 molecule,HGNC:1709,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
CDKN1A,cyclin dependent kinase inhibitor 1A,HGNC:1784,mRNA,Skeleton,"N/A, Osteocytes, Osteoprogenitors (Osx+), Bone marrow stromal cells (BMSCs), Callus cells","Aging, Fracture, Focal Radiation, Type 2 Diabetes","Human, Mouse",Cell cycle arrest,"27341653, 28401730, 34617510, 35426372, 32267250","rt-qPCR, WB, CyTOF"
CDKN1B,cyclin dependent kinase inhibitor 1B,HGNC:1785,mRNA,Skeleton,Osteocytes,Focal Radiation,Mouse,Cell cycle arrest,32023351,rt-qPCR
CDKN2A,cyclin dependent kinase inhibitor 2A,HGNC:1787,mRNA,Skeleton,"N/A, Osteoprogenitors (Lepr+), Osteoblasts (ALPL+), Osteocytes, Callus cells","Aging, Fracture, Focal Radiation, Type 2 Diabetes","Human, Mouse",Cell cycle arrest,"27341653, 28878136, 34617510, 35426372, 32023351, 32267250, 36809340","rt-qPCR, IF, CyTOF"
CDKN2B,cyclin dependent kinase inhibitor 2B,HGNC:1788,mRNA,Skeleton,Osteocytes,Focal Radiation,Mouse,Cell cycle arrest,32023351,rt-qPCR
CDKN2C,cyclin dependent kinase inhibitor 2C,HGNC:1789,mRNA,Skeleton,Callus cells,Fracture,Mouse,Cell cycle arrest,35426372,rt-qPCR
CDKN2D,cyclin dependent kinase inhibitor 2D,HGNC:1790,mRNA,Skeleton,"Callus cells, osteocytes","Fracture, Focal Radiation",Mouse,Cell cycle arrest,"35426372, 32023351",rt-qPCR
